Common_Genes	group_name
bcl2	hsa-mir-135a-5p_etoposide
e2f1	hsa-mir-135a-5p_cisplatin
myc	hsa-mir-135a-5p_cisplatin
egfr	hsa-mir-135a-5p_cisplatin
bcl2	hsa-mir-135a-5p_cisplatin
bcl2	hsa-mir-135a-5p_oxaliplatin
myc	hsa-mir-135a-5p_trail
birc5	hsa-mir-135a-5p_trail
bcl2	hsa-mir-135a-5p_trail
birc5	hsa-mir-135a-5p_docetaxel
bcl2	hsa-mir-135a-5p_docetaxel
src	hsa-mir-135a-5p_doxorubicin
birc5	hsa-mir-135a-5p_doxorubicin
bcl2	hsa-mir-135a-5p_doxorubicin
mbnl1	hsa-mir-135a-5p_mitoxantrone
polh	hsa-mir-135a-5p_mitoxantrone
bcl2	hsa-mir-135a-5p_mitoxantrone
bcl2	hsa-mir-135a-5p_oxaliplatin
e2f1	hsa-mir-135a-5p_cisplatin
myc	hsa-mir-135a-5p_cisplatin
egfr	hsa-mir-135a-5p_cisplatin
bcl2	hsa-mir-135a-5p_cisplatin
egfr	hsa-mir-135a-5p_gefitinib
foxo1	hsa-mir-135a-5p_fluorouracil
egfr	hsa-mir-135a-5p_fluorouracil
jak2	hsa-mir-135a-5p_paclitaxel
birc5	hsa-mir-135a-5p_paclitaxel
bcl2	hsa-mir-135a-5p_paclitaxel
e2f1	hsa-mir-135a-5p_paclitaxel
egfr	hsa-mir-135a-5p_paclitaxel
e2f1	hsa-mir-135a-5p_cisplatin
myc	hsa-mir-135a-5p_cisplatin
egfr	hsa-mir-135a-5p_cisplatin
bcl2	hsa-mir-135a-5p_cisplatin
bcl2	hsa-mir-135a-5p_bortezomib
src	hsa-mir-135a-5p_doxorubicin
birc5	hsa-mir-135a-5p_doxorubicin
bcl2	hsa-mir-135a-5p_doxorubicin
gadd45a	hsa-mir-135b-3p_cisplatin
birc5	hsa-mir-135b-5p_doxorubicin
myc	hsa-mir-135b-5p_verapamil
myc	hsa-mir-135b-5p_imatinib
birc5	hsa-mir-135b-5p_imatinib
myc	hsa-mir-135b-5p_cisplatin
birc5	hsa-mir-135b-5p_doxorubicin
apc	hsa-mir-135b-5p_erlotinib
birc5	hsa-mir-135b-5p_erlotinib
myc	hsa-mir-135b-5p_cisplatin
apc	hsa-mir-135b-5p_erlotinib
birc5	hsa-mir-135b-5p_erlotinib
myc	hsa-mir-135b-5p_imatinib
birc5	hsa-mir-135b-5p_imatinib
birc5	hsa-mir-135b-5p_doxorubicin
birc5	hsa-mir-135b-5p_docetaxel
birc5	hsa-mir-135b-5p_docetaxel
birc5	hsa-mir-135b-5p_paclitaxel
birc5	hsa-mir-135b-5p_paclitaxel
mbnl1	hsa-mir-135b-5p_mitoxantrone
polh	hsa-mir-135b-5p_mitoxantrone
bglap	hsa-mir-135b-5p_tamoxifen
myc	hsa-mir-135b-5p_cisplatin
foxo1	hsa-mir-135b-5p_fluorouracil
myc	hsa-mir-135b-5p_cisplatin
birc5	hsa-mir-135b-5p_paclitaxel
myc	hsa-mir-135b-5p_cisplatin
birc5	hsa-mir-135b-5p_doxorubicin
foxo1	hsa-mir-135b-5p_fluorouracil
birc5	hsa-mir-135b-5p_trastuzumab
birc5	hsa-mir-135b-5p_paclitaxel
myc	hsa-mir-135b-5p_cisplatin
myc	hsa-mir-135b-5p_cisplatin
gnas	hsa-mir-136-5p_cisplatin
bcl2	hsa-mir-136-5p_cisplatin
il6	hsa-mir-136-5p_cisplatin
gnas	hsa-mir-136-5p_cisplatin
bcl2	hsa-mir-136-5p_cisplatin
il6	hsa-mir-136-5p_cisplatin
gnas	hsa-mir-136-5p_cisplatin
bcl2	hsa-mir-136-5p_cisplatin
il6	hsa-mir-136-5p_cisplatin
gnas	hsa-mir-136-5p_cisplatin
bcl2	hsa-mir-136-5p_cisplatin
il6	hsa-mir-136-5p_cisplatin
bcl2	hsa-mir-136-5p_paclitaxel
bcl2	hsa-mir-136-5p_docetaxel
aurka	hsa-mir-137_cisplatin
egfr	hsa-mir-137_cisplatin
gna13	hsa-mir-138-1-3p_oxaliplatin
gna13	hsa-mir-138-1-3p_oxaliplatin
mecp2	hsa-mir-138-1-3p_fluorouracil
mecp2	hsa-mir-138-1-3p_cisplatin
taok1	hsa-mir-138-1-3p_sorafenib
hif1a	hsa-mir-138-1-3p_sorafenib
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_paclitaxel
eif4ebp1	hsa-mir-138-5p_paclitaxel
casp3	hsa-mir-138-5p_doxorubicin
ppm1d	hsa-mir-138-5p_doxorubicin
ccnd1	hsa-mir-138-5p_doxorubicin
ccnd1	hsa-mir-138-5p_fluorouracil
phkg2	hsa-mir-138-5p_gefitinib
igf1r	hsa-mir-138-5p_gefitinib
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_fluorouracil
casp3	hsa-mir-138-5p_doxorubicin
ppm1d	hsa-mir-138-5p_doxorubicin
ccnd1	hsa-mir-138-5p_doxorubicin
ccnd1	hsa-mir-138-5p_fluorouracil
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_doxorubicin
ppm1d	hsa-mir-138-5p_doxorubicin
ccnd1	hsa-mir-138-5p_doxorubicin
serpine1	hsa-mir-138-5p_epirubicin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
igf1r	hsa-mir-138-5p_ceritinib
nfkb1	hsa-mir-138-5p_bortezomib
ccnd1	hsa-mir-138-5p_bortezomib
phkg2	hsa-mir-138-5p_gefitinib
igf1r	hsa-mir-138-5p_gefitinib
casp3	hsa-mir-138-5p_doxorubicin
ppm1d	hsa-mir-138-5p_doxorubicin
ccnd1	hsa-mir-138-5p_doxorubicin
phkg2	hsa-mir-138-5p_gefitinib
igf1r	hsa-mir-138-5p_gefitinib
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
phkg2	hsa-mir-138-5p_gefitinib
igf1r	hsa-mir-138-5p_gefitinib
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
phkg2	hsa-mir-138-5p_gefitinib
igf1r	hsa-mir-138-5p_gefitinib
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
yap1	hsa-mir-138-5p_etoposide
casp3	hsa-mir-138-5p_cisplatin
ccnd1	hsa-mir-138-5p_cisplatin
pdgfra	hsa-mir-139-3p_imatinib
chek1	hsa-mir-139-3p_gemcitabine
mthfd1	hsa-mir-139-3p_gemcitabine
chek1	hsa-mir-139-3p_cisplatin
alox15	hsa-mir-139-3p_cisplatin
mthfd1	hsa-mir-139-3p_cisplatin
pik3ca	hsa-mir-139-5p_doxorubicin
bcl2	hsa-mir-139-5p_doxorubicin
pik3ca	hsa-mir-139-5p_erlotinib
met	hsa-mir-139-5p_erlotinib
igf1r	hsa-mir-139-5p_erlotinib
pik3ca	hsa-mir-139-5p_paclitaxel
fos	hsa-mir-139-5p_paclitaxel
bcl2	hsa-mir-139-5p_paclitaxel
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_gemcitabine
hras	hsa-mir-139-5p_gemcitabine
abl2	hsa-mir-139-5p_imatinib
pik3ca	hsa-mir-139-5p_doxorubicin
bcl2	hsa-mir-139-5p_doxorubicin
pik3ca	hsa-mir-139-5p_docetaxel
hras	hsa-mir-139-5p_docetaxel
bcl2	hsa-mir-139-5p_docetaxel
pik3ca	hsa-mir-139-5p_docetaxel
hras	hsa-mir-139-5p_docetaxel
bcl2	hsa-mir-139-5p_docetaxel
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_fluorouracil
pik3ca	hsa-mir-139-5p_fluorouracil
pik3ca	hsa-mir-139-5p_oxaliplatin
bcl2	hsa-mir-139-5p_oxaliplatin
pik3ca	hsa-mir-139-5p_vincristine
bcl2	hsa-mir-139-5p_vincristine
pik3ca	hsa-mir-139-5p_oxaliplatin
bcl2	hsa-mir-139-5p_oxaliplatin
bcl2	hsa-mir-139-5p_epirubicin
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_dabrafenib
hras	hsa-mir-139-5p_dabrafenib
pik3ca	hsa-mir-139-5p_vemurafenib
hras	hsa-mir-139-5p_vemurafenib
met	hsa-mir-139-5p_vemurafenib
pik3ca	hsa-mir-139-5p_paclitaxel
fos	hsa-mir-139-5p_paclitaxel
bcl2	hsa-mir-139-5p_paclitaxel
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_fluorouracil
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_gefitinib
met	hsa-mir-139-5p_gefitinib
igf1r	hsa-mir-139-5p_gefitinib
pik3ca	hsa-mir-139-5p_gefitinib
met	hsa-mir-139-5p_gefitinib
igf1r	hsa-mir-139-5p_gefitinib
met	hsa-mir-139-5p_yuanhuadine
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_oxaliplatin
bcl2	hsa-mir-139-5p_oxaliplatin
pik3ca	hsa-mir-139-5p_fluorouracil
pik3ca	hsa-mir-139-5p_oxaliplatin
bcl2	hsa-mir-139-5p_oxaliplatin
pik3ca	hsa-mir-139-5p_gemcitabine
hras	hsa-mir-139-5p_gemcitabine
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_fluorouracil
pik3ca	hsa-mir-139-5p_cisplatin
cxcr4	hsa-mir-139-5p_cisplatin
bcl2	hsa-mir-139-5p_cisplatin
smarca4	hsa-mir-139-5p_cisplatin
pik3ca	hsa-mir-139-5p_oxaliplatin
bcl2	hsa-mir-139-5p_oxaliplatin
bcl2	hsa-mir-139-5p_etoposide
pik3ca	hsa-mir-139-5p_doxorubicin
bcl2	hsa-mir-139-5p_doxorubicin
pik3ca	hsa-mir-139-5p_vincristine
bcl2	hsa-mir-139-5p_vincristine
smarca4	hsa-mir-139-5p_vinorelbine
pik3ca	hsa-mir-139-5p_paclitaxel
fos	hsa-mir-139-5p_paclitaxel
bcl2	hsa-mir-139-5p_paclitaxel
pik3ca	hsa-mir-139-5p_doxorubicin
bcl2	hsa-mir-139-5p_doxorubicin
fanca	hsa-mir-140-3p_cisplatin
ercc1	hsa-mir-140-3p_cisplatin
ercc1	hsa-mir-140-3p_platinum
mapk8	hsa-mir-140-3p_platinum
mknk2	hsa-mir-140-3p_sorafenib
mapk8	hsa-mir-140-3p_sorafenib
fanca	hsa-mir-140-3p_cisplatin
ercc1	hsa-mir-140-3p_cisplatin
mknk2	hsa-mir-140-3p_sorafenib
mapk8	hsa-mir-140-3p_sorafenib
mknk2	hsa-mir-140-3p_gefitinib
mapk8	hsa-mir-140-3p_gefitinib
mknk2	hsa-mir-140-3p_sorafenib
mapk8	hsa-mir-140-3p_sorafenib
fanca	hsa-mir-140-3p_cisplatin
ercc1	hsa-mir-140-3p_cisplatin
aldh1a1	hsa-mir-140-5p_doxorubicin
ldlr	hsa-mir-140-5p_verapamil
aldh1a1	hsa-mir-140-5p_doxorubicin
ada	hsa-mir-140-5p_methotrexate
bcl2l11	hsa-mir-140-5p_imatinib
pdgfra	hsa-mir-140-5p_imatinib
igf1r	hsa-mir-140-5p_erlotinib
bcl2l11	hsa-mir-140-5p_imatinib
pdgfra	hsa-mir-140-5p_imatinib
esr2	hsa-mir-140-5p_gemcitabine
igf1r	hsa-mir-140-5p_gefitinib
aldh1a1	hsa-mir-140-5p_doxorubicin
fen1	hsa-mir-140-5p_mitoxantrone
dnmt1	hsa-mir-140-5p_mitoxantrone
vegfa	hsa-mir-140-5p_sorafenib
pdgfra	hsa-mir-140-5p_sorafenib
aldh1a1	hsa-mir-140-5p_doxorubicin
aldh1a1	hsa-mir-140-5p_cisplatin
stat1	hsa-mir-140-5p_cisplatin
dnmt1	hsa-mir-140-5p_cisplatin
aldh1a1	hsa-mir-140-5p_doxorubicin
hdac4	hsa-mir-140-5p_daunorubicin
hdac7	hsa-mir-140-5p_daunorubicin
esr2	hsa-mir-140-5p_fulvestrant
aldh1a1	hsa-mir-140-5p_doxorubicin
aldh1a1	hsa-mir-140-5p_cisplatin
stat1	hsa-mir-140-5p_cisplatin
dnmt1	hsa-mir-140-5p_cisplatin
hdac4	hsa-mir-140-5p_temozolomide
aldh1a1	hsa-mir-140-5p_doxorubicin
aldh1a1	hsa-mir-140-5p_cisplatin
stat1	hsa-mir-140-5p_cisplatin
dnmt1	hsa-mir-140-5p_cisplatin
aldh1a1	hsa-mir-140-5p_cisplatin
stat1	hsa-mir-140-5p_cisplatin
dnmt1	hsa-mir-140-5p_cisplatin
vegfa	hsa-mir-140-5p_sorafenib
pdgfra	hsa-mir-140-5p_sorafenib
aldh1a1	hsa-mir-140-5p_cisplatin
stat1	hsa-mir-140-5p_cisplatin
dnmt1	hsa-mir-140-5p_cisplatin
cyp1b1	hsa-mir-141-3p_doxorubicin
mapk14	hsa-mir-141-3p_doxorubicin
zeb1	hsa-mir-141-3p_doxorubicin
cyp1b1	hsa-mir-141-3p_doxorubicin
mapk14	hsa-mir-141-3p_doxorubicin
zeb1	hsa-mir-141-3p_doxorubicin
hspa4	hsa-mir-141-3p_verapamil
ptprd	hsa-mir-141-3p_verapamil
cyp1b1	hsa-mir-141-3p_doxorubicin
mapk14	hsa-mir-141-3p_doxorubicin
zeb1	hsa-mir-141-3p_doxorubicin
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
pten	hsa-mir-141-3p_docetaxel
vac14	hsa-mir-141-3p_docetaxel
mdm4	hsa-mir-141-3p_docetaxel
pten	hsa-mir-141-3p_docetaxel
vac14	hsa-mir-141-3p_docetaxel
mdm4	hsa-mir-141-3p_docetaxel
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
cyp1b1	hsa-mir-141-3p_doxorubicin
mapk14	hsa-mir-141-3p_doxorubicin
zeb1	hsa-mir-141-3p_doxorubicin
igf1r	hsa-mir-141-3p_tamoxifen
pten	hsa-mir-141-3p_erlotinib
igf1r	hsa-mir-141-3p_erlotinib
cyp1b1	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
bap1	hsa-mir-141-3p_sunitinib
pten	hsa-mir-141-3p_sunitinib
bap1	hsa-mir-141-3p_sunitinib
pten	hsa-mir-141-3p_sunitinib
pten	hsa-mir-141-3p_erlotinib
igf1r	hsa-mir-141-3p_erlotinib
pten	hsa-mir-141-3p_gemcitabine
rb1	hsa-mir-141-3p_paclitaxel
pten	hsa-mir-141-3p_paclitaxel
rb1	hsa-mir-141-3p_paclitaxel
pten	hsa-mir-141-3p_paclitaxel
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
gna13	hsa-mir-141-3p_oxaliplatin
zeb1	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_oxaliplatin
cyp1b1	hsa-mir-141-3p_doxorubicin
mapk14	hsa-mir-141-3p_doxorubicin
zeb1	hsa-mir-141-3p_doxorubicin
pten	hsa-mir-141-3p_gemcitabine
pten	hsa-mir-141-3p_gemcitabine
gna13	hsa-mir-141-3p_oxaliplatin
zeb1	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_docetaxel
vac14	hsa-mir-141-3p_docetaxel
mdm4	hsa-mir-141-3p_docetaxel
pten	hsa-mir-141-3p_docetaxel
vac14	hsa-mir-141-3p_docetaxel
mdm4	hsa-mir-141-3p_docetaxel
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
pten	hsa-mir-141-3p_carboplatin
rb1	hsa-mir-141-3p_paclitaxel
pten	hsa-mir-141-3p_paclitaxel
igf1r	hsa-mir-141-3p_tamoxifen
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_paclitaxel
pten	hsa-mir-141-3p_paclitaxel
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
igf1r	hsa-mir-141-3p_tamoxifen
cyp1b1	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_fluorouracil
gna13	hsa-mir-141-3p_oxaliplatin
zeb1	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_docetaxel
vac14	hsa-mir-141-3p_docetaxel
mdm4	hsa-mir-141-3p_docetaxel
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
cyp1b1	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_fluorouracil
gna13	hsa-mir-141-3p_oxaliplatin
zeb1	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_gefitinib
mapk14	hsa-mir-141-3p_gefitinib
mapk9	hsa-mir-141-3p_gefitinib
igf1r	hsa-mir-141-3p_gefitinib
map4k4	hsa-mir-141-3p_gefitinib
prkaa2	hsa-mir-141-3p_metformin
ppara	hsa-mir-141-3p_metformin
pten	hsa-mir-141-3p_metformin
igf1r	hsa-mir-141-3p_metformin
pten	hsa-mir-141-3p_cisplatin
rb1	hsa-mir-141-3p_cisplatin
hspa4	hsa-mir-141-3p_cisplatin
gna13	hsa-mir-141-3p_oxaliplatin
zeb1	hsa-mir-141-3p_oxaliplatin
pten	hsa-mir-141-3p_oxaliplatin
rb1	hsa-mir-141-3p_paclitaxel
pten	hsa-mir-141-3p_paclitaxel
cyp1b1	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_trastuzumab
pten	hsa-mir-141-3p_gemcitabine
pten	hsa-mir-141-3p_cetuximab
pten	hsa-mir-141-3p_gefitinib
mapk14	hsa-mir-141-3p_gefitinib
mapk9	hsa-mir-141-3p_gefitinib
igf1r	hsa-mir-141-3p_gefitinib
map4k4	hsa-mir-141-3p_gefitinib
cyp1b1	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_fluorouracil
cyp1b1	hsa-mir-141-3p_cyclophosphamide
cyp1b1	hsa-mir-141-3p_fluorouracil
pten	hsa-mir-141-3p_fluorouracil
cyp1b1	hsa-mir-141-3p_doxorubicin
mapk14	hsa-mir-141-3p_doxorubicin
zeb1	hsa-mir-141-3p_doxorubicin
atxn2	hsa-mir-141-5p_tamoxifen
blmh	hsa-mir-141-5p_cisplatin
hmgb1	hsa-mir-141-5p_cisplatin
xrcc1	hsa-mir-142-3p_platinum
rictor	hsa-mir-142-3p_platinum
yes1	hsa-mir-142-3p_mitoxantrone
abcg2	hsa-mir-142-3p_mitoxantrone
poli	hsa-mir-142-3p_mitoxantrone
nsd2	hsa-mir-142-3p_mitoxantrone
esr1	hsa-mir-142-3p_tamoxifen
il6	hsa-mir-142-3p_cisplatin
xiap	hsa-mir-142-3p_cisplatin
esr1	hsa-mir-142-3p_cisplatin
xrcc1	hsa-mir-142-3p_cisplatin
gnas	hsa-mir-142-3p_cisplatin
hmgb1	hsa-mir-142-3p_cisplatin
cdkn1b	hsa-mir-142-3p_doxorubicin
abcg2	hsa-mir-142-3p_doxorubicin
xrcc1	hsa-mir-142-3p_doxorubicin
pik3cg	hsa-mir-142-3p_doxorubicin
kmt2a	hsa-mir-142-3p_doxorubicin
cdkn1b	hsa-mir-142-3p_doxorubicin
abcg2	hsa-mir-142-3p_doxorubicin
xrcc1	hsa-mir-142-3p_doxorubicin
pik3cg	hsa-mir-142-3p_doxorubicin
kmt2a	hsa-mir-142-3p_doxorubicin
abcg2	hsa-mir-142-3p_daunorubicin
kmt2a	hsa-mir-142-3p_daunorubicin
ctnnb1	hsa-mir-142-3p_sorafenib
taok1	hsa-mir-142-3p_sorafenib
irak1	hsa-mir-142-3p_sorafenib
yes1	hsa-mir-142-3p_sorafenib
abcg2	hsa-mir-142-3p_sorafenib
dyrk3	hsa-mir-142-3p_sorafenib
eml4	hsa-mir-142-3p_ceritinib
eml4	hsa-mir-142-3p_ceritinib
kmt2a	hsa-mir-142-3p_panobinostat
ctnnb1	hsa-mir-142-3p_dexamethasone
rps19	hsa-mir-142-3p_dexamethasone
gnas	hsa-mir-142-3p_fluorouracil
lgr5	hsa-mir-142-3p_fluorouracil
rgs5	hsa-mir-142-3p_fluorouracil
cdkn1b	hsa-mir-142-3p_doxorubicin
abcg2	hsa-mir-142-3p_doxorubicin
xrcc1	hsa-mir-142-3p_doxorubicin
pik3cg	hsa-mir-142-3p_doxorubicin
kmt2a	hsa-mir-142-3p_doxorubicin
gnas	hsa-mir-142-3p_fluorouracil
lgr5	hsa-mir-142-3p_fluorouracil
rgs5	hsa-mir-142-3p_fluorouracil
cdkn1b	hsa-mir-142-3p_doxorubicin
abcg2	hsa-mir-142-3p_doxorubicin
xrcc1	hsa-mir-142-3p_doxorubicin
pik3cg	hsa-mir-142-3p_doxorubicin
kmt2a	hsa-mir-142-3p_doxorubicin
ctnnb1	hsa-mir-142-3p_imatinib
taok1	hsa-mir-142-3p_imatinib
irak1	hsa-mir-142-3p_imatinib
yes1	hsa-mir-142-3p_imatinib
abcg2	hsa-mir-142-3p_imatinib
cdkn1b	hsa-mir-142-3p_doxorubicin
abcg2	hsa-mir-142-3p_doxorubicin
xrcc1	hsa-mir-142-3p_doxorubicin
pik3cg	hsa-mir-142-3p_doxorubicin
kmt2a	hsa-mir-142-3p_doxorubicin
cdkn1b	hsa-mir-142-3p_doxorubicin
abcg2	hsa-mir-142-3p_doxorubicin
xrcc1	hsa-mir-142-3p_doxorubicin
pik3cg	hsa-mir-142-3p_doxorubicin
kmt2a	hsa-mir-142-3p_doxorubicin
sod2	hsa-mir-142-5p_paclitaxel
slco1b3	hsa-mir-142-5p_paclitaxel
pten	hsa-mir-142-5p_paclitaxel
smad3	hsa-mir-142-5p_imatinib
pten	hsa-mir-142-5p_imatinib
map2k1	hsa-mir-142-5p_ceritinib
nfe2l2	hsa-mir-142-5p_cisplatin
pten	hsa-mir-142-5p_cisplatin
tmem43	hsa-mir-142-5p_cisplatin
hspa8	hsa-mir-142-5p_cisplatin
ccnd1	hsa-mir-142-5p_cisplatin
nfe2l2	hsa-mir-142-5p_bromocriptine
pten	hsa-mir-142-5p_gefitinib
prkd3	hsa-mir-142-5p_gefitinib
smad3	hsa-mir-142-5p_imatinib
pten	hsa-mir-142-5p_imatinib
smad3	hsa-mir-142-5p_imatinib
pten	hsa-mir-142-5p_imatinib
zeb1	hsa-mir-142-5p_oxaliplatin
pten	hsa-mir-142-5p_oxaliplatin
msh6	hsa-mir-142-5p_temozolomide
pten	hsa-mir-142-5p_temozolomide
sod2	hsa-mir-142-5p_paclitaxel
slco1b3	hsa-mir-142-5p_paclitaxel
pten	hsa-mir-142-5p_paclitaxel
pten	hsa-mir-142-5p_fluorouracil
ccnd1	hsa-mir-142-5p_fluorouracil
sod2	hsa-mir-142-5p_cyclophosphamide
nfe2l2	hsa-mir-142-5p_methotrexate
sod2	hsa-mir-142-5p_methotrexate
ccnd1	hsa-mir-142-5p_methotrexate
slc6a4	hsa-mir-142-5p_berberine
mapk1	hsa-mir-142-5p_sorafenib
map2k1	hsa-mir-142-5p_sorafenib
hif1a	hsa-mir-142-5p_sorafenib
pten	hsa-mir-142-5p_sorafenib
braf	hsa-mir-143-3p_fluorouracil
nos1	hsa-mir-143-3p_fluorouracil
kras	hsa-mir-143-3p_fluorouracil
cyp2c9	hsa-mir-143-3p_doxorubicin
bcl2	hsa-mir-143-3p_doxorubicin
nos1	hsa-mir-143-3p_doxorubicin
akr7a2	hsa-mir-143-3p_doxorubicin
braf	hsa-mir-143-3p_doxorubicin
bcl2	hsa-mir-143-3p_ribavirin
tubb2a	hsa-mir-143-3p_docetaxel
bcl2	hsa-mir-143-3p_docetaxel
hras	hsa-mir-143-3p_docetaxel
cd44	hsa-mir-143-3p_docetaxel
kras	hsa-mir-143-3p_docetaxel
erbb3	hsa-mir-143-3p_docetaxel
hnf4a	hsa-mir-143-3p_docetaxel
braf	hsa-mir-143-3p_gemcitabine
hras	hsa-mir-143-3p_gemcitabine
tnf	hsa-mir-143-3p_gemcitabine
kras	hsa-mir-143-3p_gemcitabine
ptgs2	hsa-mir-143-3p_oxaliplatin
