Pubmed,miR_Name,miRBase_name,miR_ID,Drug,CID,Material_1,Material_2,Material_3,Material_4,Condition,Experiment,Level,Effect,Target,Regulation,Year,Reference,Support
18803879,miR-34,hsa-mir-34a,MI0000268,Cisplatin,2767,Kato III ,-,-,-,gastric cancer,in vitro,Low,Sensitive,Bcl-2,-,2008,Restoration of tumor suppressor miR-34 inhibits human p53-mutant gastric cancer tumorspheres.,"miR-34 restoration in Kato III cells rendered the cells 2-3-fold more sensitive to the four chemotherapeutic agents, as compared with the cells transfected with the control mimic, based on IC50 data."
18803879,miR-34,hsa-mir-34a,MI0000268,Docetaxel,148124,Kato III ,-,-,-,gastric cancer,in vitro,Low,Sensitive,Bcl-2,-,2008,Restoration of tumor suppressor miR-34 inhibits human p53-mutant gastric cancer tumorspheres.,"miR-34 restoration in Kato III cells rendered the cells 2-3-fold more sensitive to the four chemotherapeutic agents, as compared with the cells transfected with the control mimic, based on IC50 data."
18803879,miR-34,hsa-mir-34a,MI0000268,Doxorubicin (Adriamycin),31703,Kato III ,-,-,-,gastric cancer,in vitro,Low,Sensitive,Bcl-2,-,2008,Restoration of tumor suppressor miR-34 inhibits human p53-mutant gastric cancer tumorspheres.,"miR-34 restoration in Kato III cells rendered the cells 2-3-fold more sensitive to the four chemotherapeutic agents, as compared with the cells transfected with the control mimic, based on IC50 data."
18803879,miR-34,hsa-mir-34a,MI0000268,Gemcitabine,60750,Kato III ,-,-,-,gastric cancer,in vitro,Low,Sensitive,Bcl-2,-,2008,Restoration of tumor suppressor miR-34 inhibits human p53-mutant gastric cancer tumorspheres.,"miR-34 restoration in Kato III cells rendered the cells 2-3-fold more sensitive to the four chemotherapeutic agents, as compared with the cells transfected with the control mimic, based on IC50 data."
18818206,miR-1,hsa-mir-1-1,MI0000651,Doxorubicin (Adriamycin),31703,"A549, H1299, N417 and BEAS-2B",-,-,-,lung cancer,in vitro,Low,Sensitive,MET,-,2008,Down-regulation of micro-RNA-1 (miR-1) in lung cancer. Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin-induced apoptosis by miR-1.,"Further, ectopic miR-1 induced apoptosis in A549 cells in response to the potent anticancer drug doxorubicin."
18823650,let-7e,hsa-let-7e,MI0000066,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-010a,hsa-mir-10a,MI0000266,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-016b,-,-,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-019b,hsa-mir-19b-1,MI0000074,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-020,hsa-mir-20a,MI0000076,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-023a,hsa-mir-23a,MI0000079,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-023b,hsa-mir-23b,MI0000439,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-026a,hsa-mir-26a-1,MI0000083,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-029c,hsa-mir-29c,MI0000735,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-092,hsa-mir-92a-1,MI0000093,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-093,hsa-mir-93,MI0000095,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-099,hsa-mir-99a,MI0000101,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-100,hsa-mir-100,MI0000102,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-106,hsa-mir-106a,MI0000113,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,M-CSF,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-106,hsa-mir-106a,MI0000113,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-106a,hsa-mir-106a,MI0000113,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-106a,hsa-mir-106a,MI0000113,Cisplatin,2767,-,A2780 vs A2780/DDP,-,-,ovarian cancer,in vitro,High,Resistant,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-107,hsa-mir-107,MI0000114,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-125a,hsa-mir-125a,MI0000469,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-125b,hsa-mir-125b-1,MI0000446,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-126,hsa-mir-126,MI0000471,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-128a,hsa-mir-128-1,MI0000447,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-130a,hsa-mir-130a,MI0000448,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-130b,hsa-mir-130b,MI0000748,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-137,hsa-mir-137,MI0000454,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-182,hsa-mir-182,MI0000272,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-197,hsa-mir-197,MI0000239,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-199a,hsa-mir-199a-1,MI0000242,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-204,hsa-mir-204,MI0000284,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-20b,hsa-mir-20b,MI0001519,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-21,hsa-mir-21,MI0000077,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-218,hsa-mir-218-1,MI0000294,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-30c,hsa-mir-30c-2,MI0000254,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-321,hsa-mir-321,MI0000543,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18823650,miR-335,hsa-mir-335,MI0000816,Paclitaxel,36314,-,"A2780 vs A2780TAX, A2780 vs A2780TC1, and A2780 vs A2780TC3",-,-,ovarian cancer,in vitro,High,Sensitive,-,-,2008,Role of microRNAs in drug-resistant ovarian cancer cells,The microRNAand the relative p and FDR values are shown in Table 1.
18834855,miR-34a,hsa-mir-34a,MI0000268,Camptothecin,24360,PC3,-,-,-,prostate cancer,in vitro,Low,Sensitive,SIRT1,-,2008,Effects of miR-34a on cell growth and chemoresistance in prostate cancer PC3 cells.,Ectopic miR-34a expression resulted in cell cycle arrest and growth inhibition and attenuated chemoresistance to anticancer drug camptothecin by inducing apoptosis.
18971180,miR-100,hsa-mir-100,MI0000102,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-106a,hsa-mir-106a,MI0000113,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-106b,hsa-mir-106b,MI0000734,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-108a,-,-,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-125a,hsa-mir-125a,MI0000469,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-125b,hsa-mir-125b-1,MI0000446,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-130a,hsa-mir-130a,MI0000448,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-141,hsa-mir-141,MI0000457,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-155,hsa-mir-155,MI0000681,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-183,hsa-mir-183,MI0000273,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-193a,hsa-mir-193a,MI0000487,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-200a,hsa-mir-200a,MI0000737,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-200b,hsa-mir-200b,MI0000342,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-200c,hsa-mir-200c,MI0000650,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-203,hsa-mir-203a,MI0000283,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-20b,hsa-mir-20b,MI0001519,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-210,hsa-mir-210,MI0000286,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-22,hsa-mir-22,MI0000078,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-221,hsa-mir-221,MI0000298,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-222,hsa-mir-222,MI0000299,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-23a,hsa-mir-23a,MI0000079,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-25,hsa-mir-25,MI0000082,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-301,hsa-mir-301a,MI0000745,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-31,hsa-mir-31,MI0000089,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-339,hsa-mir-339,MI0000815,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-34a,hsa-mir-34a,MI0000268,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-421,hsa-mir-421,MI0003685,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-455,hsa-mir-455,MI0003513,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-590,hsa-mir-590,MI0003602,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-680,-,-,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-92,hsa-mir-92a-1,MI0000093,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,miR-93,hsa-mir-93,MI0000095,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,mmu-miR-20b,mmu-mir-20b,MI0003536,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,mmu-miR-703,mmu-mir-703,MI0004687,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,rno-mir-301a,rno-mir-301a,MI0000593,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
18971180,rno-mir-93,rno-mir-93,MI0000880,Doxorubicin (Adriamycin),31703,-,MCF-7 vs MCF-7/ADR,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Analysis of microRNA in drug-resistant breast cancer cell line MCF-7/ADR,"Microarray analysis of MCF-7 to MCF-7/ADR cells identified 36 differentially expressed genes, including 16 up-regulated and 20 down-regulated genes in MCF-7/ADR4 cells."
